symbol,direction,entry_price,rsi,atr,macd,trend_score,momentum_score,volatility_score,session,sl,tp,mfe,mae,label
EURUSD,SELL,1.152605,42.09133,0.000758,-0.000395,65.0,7.90867,0.000475,asia,1.15374,1.15071,0.002254,-0.000531,1
EURUSD,SELL,1.148501,33.905118,0.001116,-0.000893,75.0,16.094882,0.000572,new_york,1.15018,1.14571,0.001186,0.0,0
EURUSD,SELL,1.148633,28.281625,0.001085,-0.000936,75.0,21.718375,0.000602,asia,1.15026,1.14592,0.001318,0.0,0
EURUSD,SELL,1.149029,45.832863,0.000679,-0.000583,40.0,4.167137,0.000463,asia,1.15005,1.14733,0.001714,-0.000264,1
EURUSD,SELL,1.149029,52.174767,0.000962,-0.000475,40.0,2.174767,0.000487,new_york,1.15047,1.14662,0.001582,-0.000396,0
EURUSD,SELL,1.149557,52.545513,0.001018,-5.2e-05,40.0,2.545513,0.000529,asia,1.15108,1.14701,0.000132,0.0,0
EURUSD,BUY,1.151013,74.285199,0.000614,0.000601,75.0,24.285199,0.000537,asia,1.15009,1.15255,0.001592,0.0,1
EURUSD,BUY,1.152472,62.279733,0.000939,0.00096,65.0,12.279733,0.000546,new_york,1.15106,1.15482,0.00293,-0.000133,1
EURUSD,BUY,1.154868,63.243842,0.001112,0.001452,65.0,13.243842,0.000636,asia,1.1532,1.15765,0.00321,-0.001465,1
EURUSD,BUY,1.153403,42.434344,0.000714,0.000819,65.0,7.565656,0.000603,asia,1.15233,1.15519,0.002132,0.0,1
EURUSD,BUY,1.157809,77.120316,0.00081,0.001149,75.0,27.120316,0.000444,new_york,1.15659,1.15983,0.001476,-0.001874,0
EURUSD,BUY,1.157006,68.216857,0.00109,0.000886,75.0,18.216857,0.000525,asia,1.15537,1.15973,0.0,-0.002405,0
EURUSD,BUY,1.15714,44.2531,0.001089,0.000362,65.0,5.7469,0.000634,london,1.15551,1.15986,0.001475,-0.002138,0
EURUSD,BUY,1.155001,43.344178,0.001089,0.00032,65.0,6.655822,0.00061,new_york,1.15337,1.15772,0.003076,-0.000533,1
EURUSD,BUY,1.155936,40.376931,0.000946,-8.3e-05,65.0,9.623069,0.000641,asia,1.15452,1.1583,0.004965,-0.000801,1
EURUSD,SELL,1.156337,50.0,0.00064,-0.000175,40.0,0.0,0.000567,london,1.1573,1.15474,0.000668,0.0,0
EURUSD,BUY,1.159824,72.732173,0.001091,0.000814,75.0,22.732173,0.000715,new_york,1.15819,1.16255,0.000404,-0.002282,0
EURUSD,BUY,1.159017,64.558109,0.001017,0.000641,65.0,14.558109,0.000722,asia,1.15749,1.16156,0.0,-0.00161,0
EURUSD,BUY,1.158614,37.82259,0.000709,0.000406,65.0,12.17741,0.000687,london,1.15755,1.16039,0.000403,-0.001475,0
EURUSD,BUY,1.159824,62.979788,0.000958,0.000243,65.0,12.979788,0.000554,new_york,1.15839,1.16222,0.000538,-0.001478,0
EURUSD,BUY,1.15942,68.169344,0.000892,0.000259,75.0,18.169344,0.000547,asia,1.15808,1.16165,0.003641,-0.001074,1
EURUSD,BUY,1.16144,62.091373,0.000826,0.000279,65.0,12.091373,0.000742,london,1.1602,1.1635,0.002298,-0.000135,1
EURUSD,BUY,1.16428,72.304924,0.001301,0.001258,75.0,22.304924,0.000806,new_york,1.16233,1.16753,0.001493,-0.002705,0
EURUSD,BUY,1.163332,56.709177,0.001169,0.001258,65.0,6.709177,0.000833,asia,1.16158,1.16626,0.001898,-0.001757,0
EURUSD,BUY,1.163738,34.8734,0.00091,0.001001,75.0,15.1266,0.000575,london,1.16237,1.16601,0.000135,-0.002163,0
EURUSD,BUY,1.161575,40.492186,0.001315,0.000323,65.0,9.507814,0.000809,new_york,1.1596,1.16486,0.001081,-0.002289,0
EURUSD,BUY,1.161036,43.052999,0.001188,-0.000394,65.0,6.947001,0.000846,asia,1.15925,1.16401,0.000809,-0.002287,0
EURUSD,SELL,1.160766,40.47609,0.000722,-0.000765,65.0,9.52391,0.00084,london,1.16185,1.15896,0.002017,-0.000942,1
EURUSD,SELL,1.160227,48.076694,0.000923,-0.000844,40.0,1.923306,0.000501,new_york,1.16161,1.15792,0.002552,-0.001479,1
EURUSD,SELL,1.159017,42.554516,0.000797,-0.000742,65.0,7.445484,0.000453,asia,1.16021,1.15702,0.000134,0.0,0
EURUSD,SELL,1.159555,51.428933,0.000768,-0.000313,40.0,1.428933,0.000411,london,1.16071,1.15763,0.001209,-0.000403,0
EURUSD,SELL,1.158212,38.78574,0.000999,-0.000303,65.0,11.21426,0.000495,new_york,1.15971,1.15571,0.00067,0.0,0
EURUSD,SELL,1.158614,50.0,0.000911,-0.000327,40.0,0.0,0.000474,asia,1.15998,1.15634,0.002679,-0.000939,1
EURUSD,SELL,1.157675,41.183846,0.000796,-0.000252,65.0,8.816154,0.000483,london,1.15887,1.15569,0.00067,0.0,0
EURUSD,SELL,1.154335,29.620532,0.001254,-0.000921,75.0,20.379468,0.000595,new_york,1.15622,1.1512,0.003189,-0.002393,1
EURUSD,SELL,1.153802,34.146607,0.001202,-0.00133,75.0,15.853393,0.000675,asia,1.1556,1.1508,0.003716,-0.001861,1
EURUSD,SELL,1.152472,43.858186,0.000845,-0.001441,65.0,6.141814,0.000597,london,1.15374,1.15036,0.001327,-0.000531,0
EURUSD,SELL,1.153669,57.582062,0.001139,-0.000896,65.0,7.582062,0.000662,new_york,1.15538,1.15082,0.000931,-0.000399,0
EURUSD,SELL,1.153802,54.690915,0.001197,-0.000256,40.0,4.690915,0.000599,asia,1.1556,1.15081,0.003716,-0.001197,1
EURUSD,SELL,1.154201,53.334129,0.000809,0.000324,40.0,3.334129,0.000533,london,1.15541,1.15218,0.002526,-0.001198,1
EURUSD,SELL,1.150748,31.822509,0.001357,-0.000425,75.0,18.177491,0.000588,new_york,1.15278,1.14736,0.000265,0.0,0
EURUSD,SELL,1.15141,45.45306,0.001231,-0.000452,40.0,4.54694,0.000639,asia,1.15326,1.14833,0.0,0.0,0
EURUSD,SELL,1.15327,66.672213,0.000882,-0.000118,75.0,16.672213,0.000563,london,1.15459,1.15107,0.0,0.0,0
EURUSD,SELL,1.152206,51.559086,0.001073,5.5e-05,40.0,1.559086,0.000626,new_york,1.15382,1.14952,0.000663,-0.000133,0
EURUSD,BUY,1.152871,35.830641,0.000855,0.000148,65.0,14.169359,0.000638,asia,1.15159,1.15501,0.000532,-0.001328,0
EURUSD,BUY,1.153802,55.32711,0.000702,0.000205,65.0,5.32711,0.000518,london,1.15275,1.15556,0.002535,-0.000931,1
EURUSD,BUY,1.158614,75.014193,0.001468,0.001046,75.0,25.014193,0.000863,new_york,1.15641,1.16228,0.000269,-0.002411,0
EURUSD,BUY,1.158078,68.593395,0.001625,0.001096,75.0,18.593395,0.00093,asia,1.15564,1.16214,0.001881,-0.00281,0
EURUSD,BUY,1.157541,43.282968,0.001188,0.001193,65.0,6.717032,0.00087,london,1.15576,1.16051,0.001207,-0.002273,0
EURUSD,BUY,1.159689,51.320008,0.001408,0.000977,40.0,1.320008,0.000784,new_york,1.15758,1.16321,0.002021,-0.002684,0
EURUSD,BUY,1.16117,70.546568,0.00115,0.000967,75.0,20.546568,0.000726,asia,1.15945,1.16405,0.00054,-0.00175,0
EURUSD,BUY,1.158078,34.909645,0.000798,0.000257,75.0,15.090355,0.000705,london,1.15688,1.16007,0.002015,0.0,1
EURUSD,BUY,1.159824,44.436051,0.000922,0.000264,65.0,5.563949,0.000539,new_york,1.15844,1.16213,0.000673,-0.001612,0
EURUSD,BUY,1.15848,45.243624,0.000759,9.3e-05,40.0,4.756376,0.000576,asia,1.15734,1.16038,0.00094,-0.001474,0
EURUSD,BUY,1.15714,22.240852,0.000787,-0.00056,75.0,27.759148,0.000374,london,1.15596,1.15911,0.0,-0.001204,0
EURUSD,SELL,1.160631,58.843737,0.00116,6.4e-05,65.0,8.843737,0.000678,new_york,1.16237,1.15773,0.001346,-0.000539,0
EURUSD,SELL,1.159958,68.927676,0.000999,0.00034,75.0,18.927676,0.000652,asia,1.16146,1.15746,0.000672,0.0,0
EURUSD,BUY,1.162926,70.761067,0.000886,0.000716,75.0,20.761067,0.000601,london,1.1616,1.16514,0.002304,-0.000135,1
EURUSD,BUY,1.161575,57.328251,0.001197,0.001021,65.0,7.328251,0.000667,new_york,1.15978,1.16457,0.001081,-0.001886,0
EURUSD,BUY,1.16144,13.121259,0.000773,0.000237,75.0,36.878741,0.000642,asia,1.16028,1.16337,0.001215,-0.001616,0
EURUSD,BUY,1.161036,47.368911,0.000549,5.6e-05,40.0,2.631089,0.000256,london,1.16021,1.16241,0.00162,-0.00027,1
EURUSD,SELL,1.16117,48.93597,0.001011,-0.000259,40.0,1.06403,0.000474,new_york,1.16269,1.15864,0.0,0.0,0
EURUSD,BUY,1.164144,64.187838,0.000964,0.000435,65.0,14.187838,0.000547,asia,1.1627,1.16655,0.002581,-0.000271,1
EURUSD,BUY,1.166453,93.549942,0.000726,0.001025,75.0,43.549942,0.000571,london,1.16536,1.16827,0.002044,-0.000816,1
EURUSD,BUY,1.167542,74.462807,0.000961,0.001333,75.0,24.462807,0.00039,new_york,1.1661,1.16995,0.000546,-0.001769,0
EURUSD,BUY,1.166317,47.917845,0.000798,0.000973,40.0,2.082155,0.000483,asia,1.16512,1.16831,0.002181,-0.00068,1
EURUSD,BUY,1.166997,51.063315,0.000798,0.000683,40.0,1.063315,0.000506,london,1.1658,1.16899,0.0015,-0.001224,0
EURUSD,BUY,1.165773,48.532572,0.001187,0.000125,40.0,1.467428,0.000624,new_york,1.16399,1.16874,0.001769,-0.002576,0
EURUSD,BUY,1.165501,35.548542,0.000845,-0.000465,65.0,14.451458,0.000649,asia,1.16423,1.16761,0.002041,-0.002305,0
EURUSD,SELL,1.165501,59.368744,0.000709,-0.000197,65.0,9.368744,0.000436,london,1.16656,1.16373,0.002305,-0.000272,1
EURUSD,SELL,1.164551,40.479127,0.001086,-0.000515,65.0,9.520873,0.000437,new_york,1.16618,1.16183,0.000136,0.0,0
EURUSD,SELL,1.165365,48.482347,0.000814,-0.000165,40.0,1.517653,0.000414,asia,1.16659,1.16333,0.0,0.0,0
EURUSD,SELL,1.165501,57.890118,0.000893,6.6e-05,65.0,7.890118,0.000453,london,1.16684,1.16327,0.003386,-0.001221,1
EURUSD,SELL,1.16428,39.277755,0.001396,-0.000423,65.0,10.722245,0.000585,new_york,1.16637,1.16079,0.0023,-0.001489,0
EURUSD,SELL,1.164958,48.835734,0.001142,-5.9e-05,40.0,1.164266,0.000561,asia,1.16667,1.1621,0.002978,-0.001085,1
EURUSD,SELL,1.164687,56.750404,0.000921,-3.4e-05,65.0,6.750404,0.000422,london,1.16607,1.16239,0.002707,-0.000813,1
EURUSD,SELL,1.163061,35.592462,0.001103,-0.000481,65.0,14.407538,0.000519,new_york,1.16472,1.1603,0.000541,0.0,0
EURUSD,SELL,1.162926,41.025409,0.000802,-0.000387,65.0,8.974591,0.000475,asia,1.16413,1.16092,0.0,0.0,0
EURUSD,SELL,1.163738,55.805818,0.000755,-3.3e-05,65.0,5.805818,0.000563,london,1.16487,1.16185,0.000541,0.0,0
